date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:08	4091/4091	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2013:33:25%20GMT	http://cdn.themehelite.com/themeforest/pure/css/photoswipe.css	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/photoswipe.css	(from http://cdn.themehelite.com/themeforest/pure/css/style-multi-scroll.css)
12:49:09	11609/11609	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2013:33:29%20GMT	http://cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.css	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.css	(from http://cdn.themehelite.com/themeforest/pure/css/style-multi-scroll.css)
12:49:09	14325/14325	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2013:33:27%20GMT	http://cdn.themehelite.com/themeforest/pure/css/vegas.css	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/vegas.css	(from http://cdn.themehelite.com/themeforest/pure/css/style-multi-scroll.css)
12:49:09	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/Mis%20lugares%20Web/PURE/www.google-analytics.com/analytics.js	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:49:09	324634/324634	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:34:09%20GMT	http://cdn.themehelite.com/themeforest/pure/img/gallery-5.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/gallery-5.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:49:10	71714/71714	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2013:33:22%20GMT	http://cdn.themehelite.com/themeforest/pure/css/animate.css	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/animate.css	(from http://cdn.themehelite.com/themeforest/pure/css/style-multi-scroll.css)
12:49:10	547/547	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2013:33:29%20GMT	http://cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.png	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.png	(from http://cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.css)
12:49:10	1554/1554	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Aug%202016%2013:33:29%20GMT	http://cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.svg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.svg	(from http://cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.css)
12:49:10	866/866	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Aug%202016%2013:33:29%20GMT	http://cdn.themehelite.com/themeforest/pure/css/default-skin/preloader.gif	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/default-skin/preloader.gif	(from http://cdn.themehelite.com/themeforest/pure/css/default-skin/default-skin.css)
12:49:11	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Mar%202018%2017:49:11%20GMT	http://cdn.themehelite.com/themeforest/pure/css/overlays/02.png	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/overlays/02.png	(from http://cdn.themehelite.com/themeforest/pure/css/vegas.css)
12:49:11	37354/37354	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:34:18%20GMT	http://cdn.themehelite.com/themeforest/pure/img/member-2.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/member-2.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
